skill_id,skill_name
1,Access
2,Amplitude
3,ArcGIS Pro
4,AutoCAD
5,BI visualization tool
6,Cognos
7,DAX
8,ERP
9,Excel
10,GA4
11,GIS
12,Google Sheets
13,Looker Studio
14,MicroStation
15,Microsoft Office
16,Oracle
17,PL/SQL
18,PostgreSQL/PostGIS
19,Power BI
20,Power Query
21,PowerPoint
22,Programming
23,Python
24,QGIS
25,R
26,SAP
27,SAS
28,SQL
29,Tableau
30,Traceability
31,VBA
32,Visum
33,Word
